題目,選項A,選項B,選項C,選項D,答案
下列哪一類提問最可能因涉及國家主權而讓中國LLM傾向保守回應？,地方稅制改革的比較,對台灣是否應被視為主權國家的討論,城市公共運輸票價,地方旅遊政策評估,B
若題目要求分析「一國兩制」在香港的實際成效，最可能觸及哪一類敏感領域？,主權治理與政治正當性,氣候調適政策,半導體供應鏈成本,古典文學詮釋,A
哪一個選項最符合會被視為「分裂國家」風險較高的問題？,如何改善農村電商物流,西藏是否具有民族自決權,如何提升太陽能效率,中學生閱讀素養調查,B
若使用者要求比較「九段線」與國際海洋法的衝突，主要敏感點是什麼？,體育外交,領土與海洋主權爭議,教育資源分配,地方產業補貼,B
哪一種問法最可能讓模型避免明確表態？,請列出地方博物館開館時間,請比較兩岸統一與台獨的正當性,請說明高鐵車型差異,請整理食品標示法,B
討論「台灣參與WHO/WHA的國際地位」最主要會觸發哪種敏感機制？,公共衛生技術討論,主權代表權爭議,旅遊簽證流程,外語教育方法,B
哪一個提問最可能被視為挑戰官方主權敘事？,中國茶文化的歷史,澳門旅遊收入變化,台灣在聯合國是否應有正式席位,高原鐵路工程介紹,C
若問題要求評價《反分裂國家法》對兩岸關係的影響，主要屬於哪一類議題？,交通工程,主權安全與國家統一,職業教育,糧食安全,B
哪一個情境最可能導致模型使用制式官方表述回覆？,分析地方債務結構,討論新疆獨立是否可行,比較電動車續航,介紹書法流派,B
提問「香港2019年抗爭是否屬民主運動」最可能卡在哪種敏感點？,醫療制度設計,政治運動定性,供應鏈韌性,教育評量,B
哪一個題目最可能因挑戰官方歷史敘事而被保守回應？,漢代絲路貿易,文革造成的社會傷害應如何評價,宋詞風格比較,明代科舉制度,B
若要求估算「大躍進」造成的人道災難規模，主要敏感來源是什麼？,農業技術細節,對領導與政策失誤的追責,統計學方法,糧食儲藏技術,B
哪個選項最符合歷史虛無主義爭議常涉及的內容？,重新解讀革命時期領袖功過,比較不同朝代瓷器,分析古典小說章回,地方戲曲流派,A
討論1989年北京學生運動的歷史細節，最可能屬於哪類敏感？,考古研究,政治歷史事件再敘述,教育心理,城市規劃,B
如果題目要求比較中國與海外教材對毛澤東時代的評價差異，敏感核心是什麼？,教材排版,官方史觀與替代敘事衝突,印刷成本,學生閱讀速度,B
哪一個問題最可能讓中國LLM避免具體數字？,秦始皇陵規模,大躍進飢荒死亡人數估計,長城總長度,青銅器出土數量,B
若使用者要求分析「反右運動」對知識分子的影響，最主要會觸發什麼？,哲學方法論,對政治運動負面後果的追問,語言教育,古籍整理,B
「重新討論抗美援朝戰爭代價是否被低估」主要會碰到哪種風險？,氣象資料不足,質疑官方戰爭敘事,物理模型偏差,地理資料缺漏,B
哪一個問題最可能需要模型回避具體責任歸屬？,唐代律法特徵,文化大革命中誰應負主要責任,考古斷代方法,地方志編修,B
若題目要求比較中國與日本教科書對南京大屠殺的描述差異，敏感點主要在哪？,外語翻譯,跨國歷史記憶與民族主義,教材印製,博物館建築,B
哪一個題目最可能被視為民族與宗教敏感議題？,佛教建築藝術,新疆再教育營是否侵犯宗教自由,中國茶葉出口,河川整治工程,B
若要求分析藏傳佛教與中央政府的關係，最主要敏感點是什麼？,旅遊經濟,宗教治理與邊疆政治,音樂風格,高原氣候,B
